Company,Company Name for Emails,# Employees,Industry,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,NAICS Codes,Short Description,Founded Year,Logo Url,Subsidiary of,Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score,sl_score,sl_obj_similarity,sl_likelihood_answer,sl_likelihood_reason,sl_obj_similarity_normalized,AI custom field 6232,sl_likelihood_score,sl_qc,sl_client
Mediatrix Advertising Private Limited,Mediatrix Advertising Private,12,marketing & advertising,http://www.mediatrix.co.in,http://www.linkedin.com/company/mediatrix-advertising-private-limited,https://facebook.com/mediatrixindia,https://twitter.com/mediatrixindia,New Link Road,Mumbai,Maharashtra,India,400053,"New Link Road, Mumbai, Maharashtra, India, 400053","productions, outdoor media, 360 degree advertising agency, rural marketing, digital films, social media marketing, entertainment marketing, 3d, online advertising, virtual mannequin, 3d holographic projection, online reputation management, creatives, research, rear glass projection, website designing, public relations, digital & social media, digital media, above the line, seo, television commercials, glasses free 3d viewing, branded content, autostereoscopic 3d, below the line, tvc, corporate films, innovation, luxury brand consultation, brand activation, social media, advertising services, holobox 3d display, experiential marketing, media agency, influencer relations, digital marketing, media production, video marketing, market research, augmented reality experiences, post production, media planning, 3d holorotor, integrated communication, advertising and marketing services, projection mapping, content creation, advertising solutions, online campaigns, immersive brand experiences, brand strategy, the wonder glass, event management, digital display advertising, traditional media, vfx and 3d graphics, holographic displays, content production, media buying, pr & online reputation, third eye dimension, holography, rural marketing strategies, creative development, event activation, visual effects and vfx, email marketing, 3d projection mapping, mobile advertising, innovative visual effects, seo and sem, b2b, consulting, services, advertising agencies, influencer marketing, customer relationship management, consumer internet, consumers, internet, information technology & services, marketing & advertising, web design, search marketing, marketing, media, post-production, events services, mobile, advertising, crm, sales, enterprise software, enterprises, computer software",+91 22 2636 3380,"Gmail, Google Apps",,,,,,,68d0244be2a3d90001591a28,7311,54181,"Mediatrix was set up in 2011 as an independent Marketing agency. A robust client base and dynamic, insightful leadership have helped us grow exponentially. Today, we are a full service communications agency, giving brands a complete 360 degree experience, which includes advertising and innovative BTL activities.

With independent but integrated departments for research, media and creative, we offer the knowledge and expertise to create and nurture brands. We believe that every form of communication should carry a promise and every campaign should be simple, memorable and effective.

Raising the bar we strive for excellence, and outdo ourselves and your expectations each time.

We also encompass the entire digital space where you can flag your creation such that the presence of your brand/product is omnipresent. From websites to social media, from online reputation management to online advertising, we provide it all.


The focus of Mediatrix is the intelligent application of physical and intellectual scale to benefit trading, innovation, and new communication services, to bring competitive advantage to our clients and our companies.

First philosophy makes us different from other marketing agencies. It means we focus on people: consumers, clients and staff.

We offer a wide range of services, from the development of communications strategy, through executional planning, negotiation and implementation.",2011,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66f7d0ff7326fc0001676c97/picture,,,,,,,,,,,,,,
Fervent Group,Fervent Group,110,marketing & advertising,http://www.imfervent.com,http://www.linkedin.com/company/fervent-communication,,,HR-111/5,New Delhi,Delhi,India,110044,"HR-111/5, New Delhi, Delhi, India, 110044","events, exhibitions, database marketing, creative services, digital services, product launches, lead generation, marketing, digital marketing, creatives, btl activation, employer branding, marketing communications, marketing strategy, conferences, seminars, expo, cio network, awards, campaign management, marketing services, event management, marketing solutions, public relations, passion-driven marketing, impactful brand building, brand strategy, content creation, roi optimization, in-house production, content marketing, impactful marketing, advertising, b2b marketing, social media campaigns, seminars and conferences, marketing and advertising, business branding, client collaboration, ip-based marketing, impact-driven campaigns, influencer marketing, conventional and digital blend, brand development, innovative marketing ips, event planning, creative branding, full-spectrum marketing, social media marketing, unconventional marketing, proprietary ips, client-centric strategies, b2b, consulting, services, public relations agencies, advertising agency, sales enablement, website design, customer engagement, access control, user experience, user interface, web design, data protection, responsive design, marketing & advertising, sales, public relations & communications, events services, consumer internet, consumers, internet, information technology & services, ux",+91 11659 54001,"Cloudflare DNS, Gmail, Google Apps, Mapbox, Snowflake, , Basis, AI",,,,,,,68d0244be2a3d90001591a91,7311,54182,"Fervent Group is a B2B marketing agency based in New Delhi, with additional offices in Mumbai and Bangalore. With over a decade of experience, the agency specializes in transforming businesses into brands that resonate with people through comprehensive marketing solutions.

Fervent's services encompass the entire marketing value chain, including market analysis, creative campaign planning, content creation, and execution across both digital and offline channels. Their key offerings include digital marketing, creative services, event management, lead generation, and employer branding. The agency focuses on partnerships with businesses aiming to enhance their marketing ROI through customized strategies that blend data-driven insights with creative execution. Fervent Group employs between 51 to 200 staff and has an estimated annual revenue ranging from $11 million to $100 million.",2010,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68c6741d6c672c0001a41994/picture,,,,,,,,,,,,,,
WT Solutions,WT Solutions,34,marketing & advertising,http://www.wtsolutions.cc,http://www.linkedin.com/company/wtitsolutions,,,81 Sahastradhara Road,Dehradun,Uttarakhand,India,248001,"81 Sahastradhara Road, Dehradun, Uttarakhand, India, 248001","cms, php, facebook advertisement, google partner, google advertisement, software devlopment cloud computing, joomla, social media marketing, mysql, drupal etc, website devlopment net, web amp mobile application development, web mobile application development, search engine optimization, digital marketing, online internet marketing, corporate training, youtube advertisement, advertising services, virtualization, intellectual property laws, it consulting, specialized it training, web application development, cyber laws, digital forensics, android development, digital evidence analysis, cyber forensic investigation, ios development, cyber laws compliance, iso 9001:2015 certified, cloud computing, software development, research in it domains, information security services, virtualization technologies, mobile apps development, cybersecurity, digital evidence collection, information technology and services, web development, research and training, social media management, cyber forensic investigation tools, cloud computing solutions, information security, seo and sem, web content design, offshore software outsourcing, cloud services, virtualization services, it training, mobile application development, offshore software development, hosting services, b2b, consulting, services, computer systems design and related services, mobile app development, website design, graphic design, project management, custom software development, email marketing, lead generation, risk assessment, consumer internet, consumers, internet, information technology & services, marketing & advertising, seo, search marketing, marketing, professional training & coaching, management consulting, mobile, enterprise software, enterprises, computer software, computer & network security, web design, productivity, sales",,"Gmail, Google Apps, WordPress.org, Google Font API, Google Places, Apache, Mobile Friendly, Woo Commerce, Google Maps, Python",,,,,,,68d0244be2a3d90001591aa5,7375,54151,"WT Solutions is a privately owned offshore software outsourcing company from India offering software development services to clients in the U.S., Canada, Europe and Australia since 2010.

WT Solutions is an ISO 9001:2015 Certified Company and is a member of IAF , AAM & EMA (America) and with specialized IT solutions in the field of Networking, Web Content Design, Development, Hosting, Mail Server Hosting, Search Engine Optimization, Cyber Laws, Intellectual Property Laws, Cloud Computing, Cyber Forensic Investigation, Digital Evidence Collection & Analysis.",2010,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6713dc2321ffa30001342e84/picture,,,,,,,,,,,,,,
Inception Business Services,Inception Business Services,25,marketing & advertising,http://www.inception.net.in,http://www.linkedin.com/company/inception-business-services,https://www.facebook.com/InceptionBusinessServices,https://twitter.com/team_ibs,122 P S Sivasamy Road,Chennai,Tamil Nadu,India,600004,"122 P S Sivasamy Road, Chennai, Tamil Nadu, India, 600004","brand properties, marketing communication, gotomarket strategy, brand business positioning, inbound marketing, outsourced marketing, social media marketing, customer engagement, hubspot, digital marketing, market study, content, marketing partnersupport, social media strategy, customised training, marketing consulting, research, marketing planning, marcomm workshops, marketing advisory, marketing coaching, marketing services, lead generation, buyer persona development, customer journey mapping, business consulting, marketing performance metrics, brand differentiation, market category study, content strategy, hubspot implementation, digital campaign management, content creation, competitor analysis, social media management, inbound methodology, market research & analysis, marketing funnel optimization, marketing campaigns, marketing roi, marketing strategy, content marketing, email marketing, marketing analytics, marketing automation tools, brand positioning, market analysis, market research, marketing automation, customer retention strategies, digital strategy, demand generation, hubspot partner, website development, seo/sem, online advertising, paid social campaigns, influencer marketing, advertising & public relations, b2b, b2c, e-commerce, d2c, consulting, services, retail, management consulting services, branding, advertising, project management, digital advertising, analytics, performance marketing, marketing & advertising, consumer internet, consumers, internet, information technology & services, management consulting, sales, social media, marketing, saas, computer software, enterprise software, enterprises, web development, productivity",+91 44426 98056,"Gmail, Google Apps, Hubspot, Linkedin Marketing Solutions, WordPress.org, Nginx, Google Analytics, Mobile Friendly, Micro",,,,,,,68d0244be2a3d90001591ab9,8742,54161,"Inception Business Services (IBS) is a marketing consulting and services firm based in Chennai, Tamil Nadu, India, with an additional office in Gurgaon. Founded in 2011, the company specializes in new-age marketing strategies that help businesses grow through both traditional and digital channels.

IBS offers a wide range of services, including marketing consulting, strategy development, sales and marketing outsourcing, market research, customer service training, and corporate marketing support. They also provide start-up business support and corporate training, including specialized training interventions. As a partner of HubSpot, IBS utilizes digital media and technology to enhance lead generation and customer acquisition for their clients.

The firm has worked with around 100 clients across various industries, serving businesses of all sizes from startups to large organizations. Their approach emphasizes collaboration and adaptability, helping clients develop effective marketing strategies and improve overall marketing performance.",2010,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/670acd407fdcbf00019615cb/picture,,,,,,,,,,,,,,
Indian Online Marketing,Indian Online Marketing,12,marketing & advertising,http://www.indianonlinemarketing.com,http://www.linkedin.com/company/indian-online-marketing,https://www.facebook.com/IndianOnlineMarketingOfficial,https://twitter.com/Indianonlinemkg,,Meerut,Uttar Pradesh,India,250001,"Meerut, Uttar Pradesh, India, 250001","search engine optimization, search engine marketing, pay per click campaign management, social media marketing, online advertising, web development, mobile app development, game development, advertising services, conversion optimization, web video production, email marketing, web traffic growth, content management, local seo, web content optimization, search engine ranking, content management system, online brand building, reputation management services, customer satisfaction, advertising and marketing, link building, brand awareness campaigns, e-commerce seo, google+ strategies, affordable seo packages, customer engagement, roi enhancement, online marketing strategies, seo services, web video marketing, website analysis, digital marketing, ranking improvement, keyword optimization, social media optimization, viral marketing, information technology and services, viral content marketing, local business seo, backlink building, link building services, seo, targeted traffic, content creation, keyword research, content marketing strategy, interactive web design, mobile app promotion, web design development, keyword research tools, ppc, twitter marketing, global seo, competitor analysis, web analytics, web traffic analysis, analytics and reporting, traffic increase, mobile marketing, facebook ads, reputation management, youtube marketing, b2b, b2c, e-commerce, d2c, consulting, services, retail, management consulting services, information technology & services, search marketing, marketing, marketing & advertising, sem, consumer internet, consumers, internet, software development, computer games, games, computer software, content management systems, advertising, social media",+91 97599 23706,"Cloudflare DNS, Gmail, Google Apps, CloudFlare Hosting, Google Font API, Mobile Friendly, YouTube, Bootstrap Framework, Remote, Google Workspace, AI",,,,,3525000,,68d0244be2a3d90001591abc,7375,54161,"Indian Online Marketing is a ""Business & Service Excellence Award, 2012"", winning internet marketing services company that specializes in Search Engine Optimization, Search Engine Marketing, PPC Management Campaign, Online Advertising, Social Media Marketing, E-mail Marketing, Mobile Marketing, Online Brand Management, Internet Reputation Management.

We are a team of search engine optimization consultants / SEO consultants, Internet marketing consultants, SEO content writers and highly experienced business consultants with Engineering/MBA ensures all projects and delivers superior customer values and return on investment (ROI).Our team also includes freelance SEO/Internet Marketing experts from all metro cities of India like Delhi/NCR, Mumbai, Bangalore, Hyderabad & Chennai.Our team also includes freelance consultants from United States, Australia, UK, Canada and many more.

Our mission is to increase your online market reach, strengthen your brand equity, help you achieve stronger business results and generate greater profitability. We hold the record of increasing the profitability of thousands of websites by placing them into top search rankings and thereby increasing sales and revenue. Our team has been built on our core values of delivering the highest level of campaign results, customer service and technical values.",2009,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68cfa447d0d65100016d38fe/picture,,,,,,,,,,,,,,
Epigram Advertising,Epigram Advertising,22,marketing & advertising,http://www.epigramonline.com,http://www.linkedin.com/company/epigram-advertising,https://www.facebook.com/EpigramAdvertising/,https://twitter.com/epigramonline,16th Road,Mumbai,Maharashtra,India,400054,"16th Road, Mumbai, Maharashtra, India, 400054","project consultancy, media planningampbuyingprint, marketing, tv, internet, social media marketing, digital solutions, advertising, media planningbuyingprint, campaign creatives, outdood, celebrity management, outdoor advertising, brand alliances, radio, advertising services, international talent procurement, trailer and promos, advertising and marketing, outdoor media solutions, creative designing, digital media campaigns, campaign development, media planning and buying, print fabrication, advertising campaigns, mobile marketing, talent management, media strategy for entertainment properties, integrated marketing, media strategy for films, media buying, digital marketing, brand development, print and outdoor advertising, e-commerce integration, promotional tie-ups for movies, brand identity, video production, media strategy, event marketing, content creation, promotional tie-ins, advertising production, celebrity talent sourcing, celebrity endorsements, website design, digital media, event management, campaign strategy, creative solutions, film promotion, promotional tie-ins for movies, radio campaigns, integrated campaign planning for films, content facilitation for entertainment, entertainment marketing, media campaigns, media and entertainment, b2b, services, advertising agencies, information technology & services, consumer internet, consumers, marketing & advertising, events, events services, social media, web design, media",+91 22 2605 7173,"Gmail, Google Apps, Mobile Friendly, Bootstrap Framework, Microsoft-IIS, ASP.NET, Paytm",,,,,,,68d0244ce2a3d90001591b27,7311,54181,"A leader and pioneer in the entertainment industry and its foundation is an unparalleled expertise and a unique understanding of cinema. In its brief history, Epigram has cultivated a common culture all across the media industry and a shared vision for effective marketing communications for the best of talent. All solutions for films are provided in-house, including publicity design, marketing and communication strategy, media strategy, media planning, media buying, in-film placements, promotional tie-ins, website design, internet strategy (advertising & promotion), social media marketing, and talent management. 

Our clients have been varied and diverse, including individual talents like Aamir Khan, Ashutosh Gowariker and Ajay Devgn, film corporate houses like UTV, Mukta Arts, Venus and iDream Productions, Sony Pictures Entertainment, Yash Raj Films, leading producers like Dharma Productions, Kintop Pictures and White Feather Films, multiplexes like Fame Cinemas … the list is endless. Some of our previous projects include most recently Delhi Belly & Ready and earlier films such as Well Done Abba, All The Best, Ghajini, Jaane Tu Ya Jaane Na, Jodhaa Akbar, Dus Kahaniyaan, Taare Zameen Par, Shootout At Lokhandwala, Metro, Kabhi Alvida Naa Kehna,  Lage Raho Munnabhai, Anthony Kaun Hai? Rang De Basanti, Zinda, Iqbal, Mangal Pandey – The Rising, Swades, Hulchul, Hungama, Bend It Like Beckam, and Lagaan …the list is endless.",2000,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66ef8ad32ccae100015a8311/picture,,,,,,,,,,,,,,
Arun Sign,Arun Sign,61,marketing & advertising,http://www.arunsign.com,http://www.linkedin.com/company/arun-sign,,,Raja Dinendra Street,Kolkata,West Bengal,India,700006,"Raja Dinendra Street, Kolkata, West Bengal, India, 700006","advertising services, marketing & advertising",+91 33 2555 1750,Apache,,,,,,,68d0244ce2a3d90001591b2a,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac09a4ccae0001634980/picture,,,,,,,,,,,,,,
"AD WORLD,",AD WORLD,34,marketing & advertising,http://www.adworldoutdoors.com,http://www.linkedin.com/company/ad-world-,,,Khajrana Main Road,Indore,Madhya Pradesh,India,452003,"Khajrana Main Road, Indore, Madhya Pradesh, India, 452003","advertising services, marketing & advertising",+91 73125 60301,Basis,,,,,,,68d0244ce2a3d90001591b30,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,,,,,,,,,,,,,,
PRAG,PRAG,66,marketing & advertising,http://www.freemydeal.com,http://www.linkedin.com/company/induss-group-of-companies,,,,Kolkata,West Bengal,India,700020,"Kolkata, West Bengal, India, 700020","advertising services, online marketplace, retail, seo friendly profiles, local search engine, category-specific listings, free business profile, business promotion tools, local marketplace, free business promotion, service provider, job posting, e-commerce, local service search, location-based search, education, business growth platform, customer contact, hospitality, offer promotion, business listing, google map integration, business promotion, construction, customer engagement, healthcare, seo optimization, business services, b2b, b2c, services, web search portals, libraries, archives, and other information services, digital marketing, real estate services, event management, home decor, home improvement, food delivery, personal care, graphic design, marketing services, marketing & advertising, consumer internet, consumers, internet, information technology & services, education management, leisure, travel & tourism, health care, health, wellness & fitness, hospital & health care, events services",,,,,,,,,68d0244ce2a3d90001591b34,7389,519,Welcome to PRAG,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,,,,,,,,,,,,,,
Wordist,Wordist,24,marketing & advertising,http://www.wordist.in,http://www.linkedin.com/company/wordist,https://facebook.com/ilikewordist,https://twitter.com/ilikewordist,Avvi Shanmugam Salai,Chennai,Tamil Nadu,India,600014,"Avvi Shanmugam Salai, Chennai, Tamil Nadu, India, 600014","advertising, production, brand identity, media space, social media marketing, events, web design, advertising services, consumer internet, consumers, internet, information technology & services, marketing & advertising",,"Amazon AWS, SAP, Remote",,,,,,,68d0244ce2a3d90001591b35,,,"Wordist is a digital marketing and creative advertising agency. #besurprised

Global designs and breathtaking visuals dispersed with a splash of Indian chutzpah is what you get at Wordist. We deliver simple creative solutions in an ultra fast pace by being absolutely affordable.

We believe that a big idea can come from anybody. Turning that idea into a big day is what we do at Wordist. Our team is a blend of aptly qualified professionals and media savvy experts who drive all our solutions skywards. We believe that marketing is as unique as designing or filming and creative innovation forms our core strength. Our designs and visuals are truly incredible and thus, the time taken is only for the end result to be a memorabilia. 

Culture is part of who we are as a creative agency, and our success evolves from it. We at Wordist are working to attract a wider range of voices across every ethnicity and religion. We certainly exist closely with Government projects and young heritage groups, to expand our vision and are able to see newer perspective of success in all dimensions of businesses, thus.

We help brands to Live, Listen and Lead in the real social media. 
Live - We help you live the change.
Listen - We help you listen to relevant conversations throughout social media.
Lead - We help you engage on the social media platform.

Wordist is a hub for fresh, newer, out of the world concepts, executed for everyone. Our daily chai conversation ends up in solutions for bridging the gap between the clients, their brands and the consumer's needs. 

Our customer satisfaction is 100%, so be rest assured there's no disappointment. Or maybe a little, and that's coz you found us too late. 

OUR MISSION
To give life to every business proposal with a blend of apt words, incredible designs and unique video production!

OUR VISION
To capture the soul of our multi faceted audience, in every graphic and cinematic solution we deliver.",2008,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66ebd4e5c899f40001ba87ea/picture,,,,,,,,,,,,,,
Amura Marketing Technologies,Amura Marketing,200,marketing & advertising,http://www.amuratech.com,http://www.linkedin.com/company/amura-marketing-technologies-pvt-ltd,https://facebook.com/amuratech,https://twitter.com/amuratech,Service Road,Pune,Maharashtra,India,411045,"Service Road, Pune, Maharashtra, India, 411045","digital marketing, brand building, online advertising, social media marketing, media planning, growth marketing, healthcare marketing, b2b lead generation, performance marketing, account based marketing, omnichannel marketing, hubspot marketing, marketing automation, website development, crm integration, tech stack integrations, zohomarketing, advertising services, martech solutions, growth marketing strategies, performance marketing tools, marketing roi analytics, campaign management software, fmcg, ai content generation, marketing automation platforms, real-time analytics, data-driven strategies, sales automation platform, saas marketing, personalized marketing engines, customer segmentation ai, marketing technology integration, bfsi marketing, ai marketing tools, ai-powered solutions, digital marketing dashboards, predictive customer insights, real estate, customer journey analytics, customer journey mapping, health & wellness, customer engagement platforms, content storytelling, marketing campaign management, customer journey automation, real-time marketing analytics, industry-specific marketing, omnichannel customer experience, saas & it, personalized outreach tools, digital marketing strategy, manufacturing, marketing automation software, customer data platforms, predictive customer analytics, ai-driven marketing, marketing data platforms, lead management, conversion optimization, martech platform, d2c, bfsi digital marketing, full-stack development, healthcare customer engagement, digital marketing innovation, data privacy compliance tools, d2c marketing platforms, customer engagement tools, account-based marketing, digital branding strategies, marketing funnel optimization, digital storytelling, e-commerce, ai-driven customer segmentation, digital experience platforms, education, crm and marketing integration, digital marketing solutions, campaign management, sales and marketing automation, digital experience management, ai-powered personalization, e-commerce personalization tools, digital storytelling platforms, customer engagement ai, targeted campaigns, personalized outreach, targeted advertising, data-driven decision making, digital branding solutions, performance marketing solutions, campaign performance analytics, ai-driven growth marketing, customer engagement, growth hacking, lead nurturing, multi-channel campaign management, customer segmentation, customer data platform integration, client success stories, predictive lead scoring, lead scoring systems, marketing analytics, marketing technology stack, content creation tools, lead conversion tools, marketing roi optimization, marketing analytics tools, ai-powered customer insights, revenue generation, crm and marketing automation integration, digital branding automation, customer journey tracking, customer retention strategies, performance marketing automation, performance marketing analytics, customer personalization, bfsi, customer data platform, digital transformation tools, digital branding, customer acquisition strategies, crm platforms, ai content creation, digital branding tools, e-commerce growth, lead generation, digital marketing campaigns, digital transformation, integrated marketing solutions, healthcare, marketing automation workflows, marketing data management, growth hacking tools, predictive analytics, predictive analytics tools, marketing roi, lead nurturing automation, ai-powered analytics, multi-channel campaigns, ai-driven content marketing, pharma, customer segmentation tools, revenue growth tools, digital experience platform, personalization engines, manufacturing lead generation, multi-channel campaign tools, digital customer engagement, content marketing, marketing campaign automation, automated content marketing, growth marketing agency, digital strategy, real estate marketing automation, manufacturing leads, integrated marketing platforms, marketing technology innovation, multi-channel marketing automation, crm integration tools, multi-channel advertising automation, real-time campaign tracking, saas marketing automation, digital storytelling for brands, digital marketing analytics, automated marketing workflows, d2c brand growth, data privacy solutions, automated customer journey, integrated marketing analytics, personalized marketing, growth hacking strategies, marketing performance metrics, personalized customer journeys, marketing funnel optimization tools, marketing analytics platforms, multi-channel advertising platforms, real estate marketing, b2b, b2c, consulting, services, retail, advertising agencies, customer acquisition, analytics, marketing & advertising, consumer internet, consumers, internet, information technology & services, saas, computer software, enterprise software, enterprises, web development, health, wellness & fitness, mechanical or industrial engineering, education management, sales, health care, hospital & health care, marketing",+91 85302 38784,"Gmail, Google Apps, DigitalOcean, Google Remarketing, Phusion Passenger, Google AdWords Conversion, Google Dynamic Remarketing, Vimeo, DoubleClick Conversion, Cedexis Radar, Facebook Login (Connect), WordPress.org, Mixpanel, Apache, Nginx, ShareThis, Google Analytics, Taboola, Yahoo Ad Manager Plus, Linkedin Marketing Solutions, Facebook Widget, Google AdSense, Adobe Media Optimizer, Olark, Mobile Friendly, Facebook Custom Audiences, DoubleClick Floodlight, Yahoo Analytics, DoubleClick, Google Tag Manager, YouTube, Ubuntu, reCAPTCHA, Ruby On Rails, AdRoll",,,,,67400000,,68d0244ce2a3d90001591b36,7375,54181,"Amura Marketing Technologies is a growth marketing company based in Pune, India, founded in 2009. It focuses on AI-driven and data-first marketing solutions, helping over 300 clients across various sectors, including real estate, healthcare, and e-commerce. The company emphasizes a data-first approach, utilizing AI, automation, and real-time analytics to enhance marketing efficiency and return on investment.

Amura offers a range of services, including digital strategy, performance marketing, account-based marketing, and content marketing. It also provides marketing automation and full-stack development to support clients' marketing efforts. Notable products include Sell.Do, a comprehensive marketing and sales automation platform, and the Digital Xperience Platform, designed to integrate marketing and technology solutions for business growth. With offices in major Indian cities and a global client base, Amura positions itself as a holistic growth partner, delivering measurable and sustainable results.",2009,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68c93bafcf32e900014b3f4a/picture,,,,,,,,,,,,,,
Aaren Initiative - Lintas India,Aaren Initiative,27,marketing & advertising,http://www.aareninitiative.com,http://www.linkedin.com/company/aaren-initiative---lintas-india,,,,,,India,,India,"advertising services, marketing & advertising",+91 22243 83851,Remote,,,,,,,68d0244ce2a3d90001591b3c,,,"The fragmentation of Indian audiences and their mobility meant that ‘Out of Home' media soon became a separate entity and got specialized attention. This saw the launch of Aaren Initiative in October 2000. This also meant the coming together of Aaren Advertising, a veteran outdoor outfit and LINTAS.

Aaren Advertising has an excellent 40-year track record. It has pioneered Airport Advertising, Gantries, Bridge Panels and a host of other outdoor media in the country.

Lintas, one of India's largest advertising agencies needs no introduction. The ‘Initiative"" in Aaren Initiative came from Initiative Media – then the media arm of Lintas. While Aaren provides the technical know-how and the statutory requirements (hardware) of the business, Lintas provides the strategic planning and implementation tools (software). Collaboratively, Aaren Initiative provides unmatched OOH solutions for our clients.",,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/670ccf5a8ce8170001ad2301/picture,,,,,,,,,,,,,,
Write Right,Write Right,17,marketing & advertising,http://www.writeright.in,http://www.linkedin.com/company/write-right,,,2 2nd Cross Road,Bengaluru,Karnataka,India,560004,"2 2nd Cross Road, Bengaluru, Karnataka, India, 560004","content marketing, website content writing, digital content writing, smm, logo, articles, ghost writing, digital marketing, content writing, brochure designing, newsletters, copy writing, seo, website designing, collateral designing, editing rewriting, emailers, logo designing, presentations, blogging, advertising services, content marketing for real estate, seo content, marketing collaterals, content distribution, content marketing for small business, content marketing for startups, seo friendly content, content marketing automation, editing & rewriting, content marketing for business, content marketing for product launches, content marketing campaigns, content marketing for brands in bangalore, content marketing bangalore, advertising & marketing services, content marketing for saas, content marketing best practices, content marketing for engagement, content marketing platforms, content marketing for seo, content marketing for local businesses, content planning, digital content, website content bangalore, content marketing for b2c, content marketing for conversion, web design & development, content marketing for international markets, content strategy, brand identity, advertising, presentation, content marketing tools, blogs, content marketing for lead generation, content creation, content marketing for mobile apps, content marketing agency, content marketing strategy bangalore, case studies, content marketing for service providers, content marketing for tech companies, corporate identity, targeted content, content marketing for growth, content marketing for healthcare, content marketing for manufacturing, content editing, content rewriting, content marketing for websites, content marketing for b2b, content marketing trends, content marketing for niche industries, content creation & copywriting, content publishing, content marketing for brand building, content marketing services, content marketing strategy, content marketing for brands, content marketing for e-commerce, content management, content marketing for financial services, brochure design, content marketing for enterprises, content development, content marketing solutions, content marketing analytics, content marketing for retail, website content, content marketing for education, content optimization, b2b, b2c, e-commerce, d2c, consulting, services, retail, public relations agencies, website design, email marketing, copywriting, search engine optimization, customer retention, lead generation, marketing & advertising, writing & editing, information technology & services, search marketing, marketing, web design, online media, media, design, consumer internet, consumers, internet, sales",+91 81976 90352,"Google Font API, Google Tag Manager, Mobile Friendly, Nginx, Remote, AI",,,,,,,68d0244ce2a3d90001591b40,7389,54182,"Write Right is a 360-degree communication studio. We provide best-integrated marketing communication solutions to make businesses stand out in the crowd. Specialized service areas include – lucid and precise content | targeted and effective Digital Marketing | universal appealing marketing collaterals. 
Core-objective at Write Right is effective business and marketing communication.

Service niche of Write Right : 
 Lucid and precise Content
 Targeted and creative Graphic Designs
 Universal appealing Marketing Collaterals

We showcase brands the way prospects love to see !!! 

Core- Values:
Flexibility, Reliability, Project Management, Customer Support, Contact
Broad service niche at Write Right - 

Content Marketing - 
Website Content Writing
Digital Content Service (Articles, Press Releases, Case Studies, Whitepapers, Proposals, Blogging, Mailers, Newsletters)
Editing and Re-writing

Digital Marketing - 
Search Engine Marketing (Paid Marketing, Search Engine Optimization)
Social Media Marketing (Social Networks, Social Streaming, Social Search, Social Knowledge, Social Blogging, Social Customer Service, Social Publishing, Social Bookmarking)

Designing -  
Corporate Identities, Advertisements, Websites, Brochures, Presentations",2008,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6702ed6a6ac4110001958592/picture,,,,,,,,,,,,,,
